Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302281328412,0.373,167.2945410107893,-1.1430388074368238,58.20315968314454,2.5402694940567017,8.324763458778774,"Alex Bregman",17678,608324
"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149256520241452,0.43,160.62181817164873,1.4538522688671947,54.24225929953494,5.5428338050842285,7.850459393401321,"Cody Bellinger",15998,641355
"Mike Trout","LAA",134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.4364301597909309,0.46,176.56422379657047,2.5658523878082633,61.279777307940314,-2.9664361476898193,7.772444297520904,"Mike Trout",10155,545361
"Anthony Rendon","WSN",146,646,34,117,126,5,0.123839009,0.133126934,0.278899082,0.322580645,0.319266055,0.411764705,0.598165137,0.4126485417068565,0.414,154.77797651899814,-0.7928446670994163,45.895036742508026,3.2141193151474,6.770179236389001,"Anthony Rendon",12861,543685
"Christian Yelich","MIL",130,580,44,100,97,30,0.137931034,0.203448275,0.341513293,0.354545454,0.329243353,0.429310344,0.670756646,0.44159413070966164,0.429,174.11236108167284,7.152056914754212,63.86527698740747,-14.804332256317139,6.561129723337185,"Christian Yelich",11477,592885
"Marcus Semien","OAK",162,747,33,123,92,10,0.116465863,0.136546184,0.237442923,0.294455066,0.284627092,0.369477911,0.522070015,0.3725865506485805,0.363,137.67703677456774,-0.08083029184490442,35.89089926254226,3.8912835121154785,6.489162152113555,"Marcus Semien",12533,543760
"Rafael Devers","BOS",156,702,32,129,115,8,0.068376068,0.169515669,0.244204019,0.339357429,0.310664605,0.360912981,0.554868624,0.3769256896003866,0.367,132.32607459015875,-1.7044301964342594,27.299313695043658,13.749701499938965,6.454061613940829,"Rafael Devers",17350,646240
"Ketel Marte","ARI",144,628,32,97,92,10,0.084394904,0.136942675,0.263620387,0.342163355,0.328646748,0.388535031,0.592267135,0.40473624273610953,0.375,149.85578505795033,3.8238125341013074,45.13244964460327,0.060265541076660156,6.334047779903119,"Ketel Marte",13613,606466
"Nolan Arenado","COL",155,662,41,102,118,3,0.093655589,0.140483383,0.268707483,0.311688311,0.31462585,0.379154078,0.583333333,0.3915574364764716,0.343,129.53253837633753,-1.0454766545444727,24.748863935625415,17.182469367980957,6.122557031850931,"Nolan Arenado",9777,571448
"George Springer","HOU",122,556,39,96,96,6,0.120503597,0.20323741,0.298538622,0.305135951,0.292275574,0.383093525,0.590814196,0.40047988784205807,0.4,155.15424580794243,2.237445732578635,41.43127718260846,1.244713306427002,6.098993035875397,"George Springer",12856,543807
"Francisco Lindor","CLE",143,654,32,101,74,22,0.070336391,0.149847094,0.234113712,0.29113924,0.284280936,0.335375191,0.518394648,0.34933322362648034,0.333,117.93282604692672,0.5232985988259315,15.512913061131822,23.245182514190674,6.062861662288853,"Francisco Lindor",12916,596019
"Trevor Story","COL",145,656,35,111,85,23,0.088414634,0.265243902,0.260204081,0.361256544,0.294217687,0.362804878,0.554421768,0.380253602455302,0.341,122.12659054944977,2.333135202527046,21.483806508455523,19.70022201538086,6.031394204228218,"Trevor Story",12564,596115
"Xander Bogaerts","BOS",155,698,33,110,117,4,0.108882521,0.1747851,0.245928338,0.337634408,0.309446254,0.383954154,0.555374592,0.3895118071258753,0.356,140.8384024759768,0.26689491141587496,36.69932551233729,-0.3706998825073242,5.981523512361228,"Xander Bogaerts",12161,593428
