Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Wilmer Flores","SFG",1.8265146017074585,-8.956664085388184,10.783178329467773,15.207799911499023,1.5814340114593506,0.938055157661438,1.68631112575531,18,-0.5143928527832031,2.4615220666568742,"Wilmer Flores",5827,527038
"Andrés Giménez","CLE",4.399728775024414,-8.782559394836426,13.18228816986084,29.46700096130371,3.167224407196045,1.059401035308838,1.385349988937378,8,2.087768316268921,2.0652659251425947,"Andres Gimenez",19950,665926
"Carlos Santana","- - -",1.2117729485034943,-9.137837409973145,10.349610567092896,9.14600133895874,0.992726057767868,1.1169378904160112,3.002824991941452,8,-0.9422304630279541,2.027136758088068,"Carlos Santana",2396,467793
"Kyle Tucker","HOU",3.1294002532958984,-10.050284385681152,13.17968463897705,33.09199905395508,3.5386033058166504,0.9759941101074219,1.9871001243591309,2,1.1946930885314941,2.0116789795862777,"Kyle Tucker",18345,663656
"Charlie Blackmon","COL",1.6404078006744385,-10.328369140625,11.96877670288086,7.301701068878174,0.7379720211029053,1.0575082302093506,1.7963999509811401,7,-0.3262227773666382,1.8774237551119306,"Charlie Blackmon",7859,453568
"Jesús Aguilar","- - -",0.800796277821064,-9.101545929908752,9.902341961860657,-8.471999645233154,-0.9381520748138428,1.0308810740883587,1.066100001335144,10,-1.0173390805721283,1.7941467046030901,"Jesus Aguilar",11342,542583
"Brandon Drury","- - -",2.8039761781692505,-8.781166553497314,11.585142850875854,26.00599956512451,2.514801114797592,0.9533630631130594,1.9275999069213867,5,1.2151821181178093,1.7259599154462988,"Brandon Drury",11615,592273
"AJ Pollock","CHW",0.38407623767852783,-9.721343994140625,10.105420112609863,-10.565400123596191,-1.1493202447891235,1.053390383720398,3.109499931335449,2,-1.312309741973877,1.6769193336449486,"AJ Pollock",9256,572041
"Thairo Estrada","SFG",2.470088481903076,-9.066904067993164,11.536993026733398,10.718000411987305,1.029968500137329,0.9943811297416687,1.3246572017669678,7,0.8915740251541138,1.592471989018322,"Thairo Estrada",16426,642731
"Whit Merrifield","- - -",0.7531961500644684,-9.982310771942139,10.735507011413574,-1.7715994715690613,-0.16159096080809832,1.0283758195570714,1.8993333578109741,3,-0.8323466442525387,1.564759966056308,"Whit Merrifield",11281,593160
"Manny Machado","SDP",4.653870582580566,-9.73393440246582,14.387804985046387,45.369998931884766,4.755793571472168,0.9592256546020508,3.503200054168701,2,3.3653016090393066,1.4863936727255398,"Manny Machado",11493,592518
"Alex Verdugo","BOS",2.209759473800659,-11.281970024108887,13.491729736328125,10.279000282287598,1.1420496702194214,1.062674880027771,2.926800012588501,1,0.6123241186141968,1.4671072440081239,"Alex Verdugo",17027,657077
"Josh Rojas","ARI",1.895107626914978,-8.185356140136719,10.080463409423828,10.033299446105957,0.9402707815170288,1.005357027053833,1.0963666439056396,6,0.4238532483577728,1.461156331242552,"Josh Rojas",19734,668942
"Isiah Kiner-Falefa","NYY",0.5253791213035583,-9.923311233520508,10.448690414428711,1.7609999179840088,0.16686849296092987,1.1070700883865356,3.917600154876709,1,-0.9824287295341492,1.4569959017619307,"Isiah Kiner-Falefa",16512,643396
"Starling Marte","NYM",3.4043712615966797,-7.339580059051514,10.743950843811035,25.023900985717773,2.7984960079193115,0.9022769331932068,3.58240008354187,1,2.328774929046631,1.4443141707139335,"Starling Marte",9241,516782
"Francisco Lindor","NYM",3.762782335281372,-10.127191543579102,13.889973640441895,36.39200210571289,4.045952320098877,0.9179813861846924,,0,2.726414680480957,1.3725598650925876,"Francisco Lindor",12916,596019
"Adolis García","TEX",2.751854658126831,-11.998245239257812,14.750100135803223,15.456999778747559,1.6807719469070435,1.085570216178894,2.5635998249053955,2,1.207405686378479,1.3275336635726487,"Adolis Garcia",19287,666969
