Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bryce Harper","WSN",153,654,42,118,99,6,0.189602446,0.20030581,0.318618042,0.369318181,0.330134357,0.460244648,0.648752399,0.46116795739470884,0.418,197.24400551674682,3.6296336562372744,77.73427418406433,-10.17090654373169,9.315669545725127,"Bryce Harper",11579,547180
"Mike Trout","LAA",159,682,41,104,90,11,0.13489736,0.231671554,0.290434783,0.34383202,0.299130434,0.40175953,0.589565217,0.41484196903462894,0.422,170.55490867335595,3.0003852494992316,58.68252778465372,6.640714049339294,9.299005021735564,"Mike Trout",10155,545361
"Josh Donaldson","TOR",158,711,41,122,123,6,0.102672292,0.187060478,0.270967742,0.313596491,0.296774193,0.370944992,0.567741935,0.3976067846013057,0.39,154.36356802215496,4.049022206570953,48.77726972703084,10.058276891708374,8.710970166474853,"Josh Donaldson",5038,518626
"Joey Votto","CIN",158,695,29,95,80,11,0.205755395,0.194244604,0.227522936,0.37075718,0.313761467,0.458992805,0.541284403,0.42690223323948245,0.422,173.84017590098324,-1.146891050040722,58.650514906960765,-11.777653962373734,7.253964079165593,"Joey Votto",4314,458015
"Paul Goldschmidt","ARI",159,695,33,103,110,21,0.169784172,0.217266187,0.248677248,0.382051282,0.320987654,0.435158501,0.569664902,0.41752846115513853,0.403,163.07701781337266,3.047335285693407,54.12849800937311,-7.481616020202637,7.229978166752168,"Paul Goldschmidt",9218,502671
"Buster Posey","SFG",150,623,19,74,95,2,0.08988764,0.083467094,0.152603231,0.320486815,0.317773788,0.378812199,0.470377019,0.3632503050769912,0.377,135.0178648403364,-1.6509776622988284,23.769430884255073,20.787801265716553,6.772103660938116,"Buster Posey",9166,457763
"AJ Pollock","ARI",157,673,20,111,76,39,0.078751857,0.132243684,0.18226601,0.337917485,0.315270935,0.367013372,0.497536945,0.3708306717482931,0.347,131.05384110083503,6.698424707166851,31.050456829126393,11.931883335113525,6.7688816486032435,"AJ Pollock",9256,572041
"Manny Machado","BAL",162,713,35,102,86,20,0.098176718,0.155680224,0.2164297,0.297352342,0.285939968,0.358649789,0.502369668,0.3701553995417607,0.345,135.39868905590987,1.196518403943628,30.403120746141873,8.42598843574524,6.594378895062311,"Manny Machado",11493,592518
"Lorenzo Cain","KCR",140,604,16,101,72,28,0.061258278,0.162251655,0.170598911,0.346938775,0.306715063,0.360927152,0.477313974,0.3602323677142461,0.364,128.12913687835515,6.337585194967687,25.99822623363659,11.78800344467163,6.105629562709741,"Lorenzo Cain",9077,456715
"Kris Bryant","CHC",151,650,26,87,99,13,0.118461538,0.306153846,0.212880144,0.37758112,0.275491949,0.369230769,0.488372093,0.3707673554237072,0.354,135.56018593113032,6.882574149407446,33.81541699740377,3.558187484741211,6.0981452293833875,"Kris Bryant",15429,592178
"Andrew McCutchen","PIT",157,685,23,91,96,11,0.143065693,0.194160583,0.196113074,0.338902147,0.291519434,0.401459854,0.487632508,0.38026886514179065,0.399,144.2745789054401,-1.0546255367808044,34.28401416548126,0.6519379615783691,5.9541657342597425,"Andrew McCutchen",9847,457705
"Francisco Cervelli","PIT",130,510,7,56,43,1,0.090196078,0.184313725,0.106430155,0.358974358,0.294900221,0.369565217,0.401330376,0.34067956693101636,0.325,117.12607554731042,-0.7999429269693792,9.37736345408744,30.569872856140137,5.912282735215088,"Francisco Cervelli",5275,465041
"Yoenis Cespedes","- - -",159,676,35,101,105,7,0.048816568,0.208579881,0.251184835,0.322510822,0.290679304,0.328402366,0.541864139,0.36721186657420923,0.38,134.7588289084985,3.7767458437010646,31.079707239627282,2.2518649101257324,5.83531910548707,"Yoenis Cespedes",13110,493316
"Jason Heyward","STL",154,610,13,79,60,23,0.091803278,0.147540983,0.146252285,0.32885906,0.29250457,0.358552631,0.438756855,0.34557146583961335,0.317,121.15236452886383,7.2021272499114275,22.236785981054346,11.257631301879883,5.555247172490066,"Jason Heyward",4940,518792
"Chris Davis","BAL",160,670,47,100,117,2,0.125373134,0.310447761,0.30017452,0.318885448,0.261780104,0.361194029,0.561954624,0.38968574300587894,0.403,148.88454321844796,-0.6861082473769784,37.21489387917385,-7.918944597244263,5.433366687931314,"Chris Davis",9272,448801
"Curtis Granderson","NYM",157,682,26,98,70,11,0.133431085,0.221407624,0.198275862,0.304668304,0.258620689,0.363636363,0.456896551,0.3567089036392358,0.363,131.08150858739103,2.4866052977740765,27.186282737678482,1.980743408203125,5.33200257796128,"Curtis Granderson",4747,434158
"Matt Carpenter","STL",154,665,28,101,84,4,0.121804511,0.227067669,0.233449477,0.320802005,0.271777003,0.365413533,0.50522648,0.3723367347861781,0.389,139.5067437858142,1.3040879382751882,31.91651042414476,-2.6440155506134033,5.287457477900065,"Matt Carpenter",8090,572761
"Anthony Rizzo","CHC",160,701,31,94,101,17,0.111269614,0.149786019,0.233788396,0.288840262,0.278156996,0.386590584,0.511945392,0.38386700694271597,0.383,144.54331898291426,1.8748406311497092,38.25841890105993,-10.715099573135376,5.221956108986791,"Anthony Rizzo",3473,519203
"José Bautista","TOR",153,666,40,108,114,8,0.165165165,0.159159159,0.285451197,0.237037037,0.250460405,0.376876876,0.535911602,0.38850686699151993,0.39,148.08000408984887,1.9687395174987614,39.02341840779482,-11.690343379974365,5.211149212591954,"Jose Bautista",1887,430832
"J.D. Martinez","DET",158,657,38,93,102,3,0.08066971,0.270928462,0.253355705,0.339425587,0.281879194,0.343987823,0.535234899,0.37229254108208876,0.396,136.20599380884425,-2.3704767590388656,25.155971083233982,2.14762020111084,5.176804128299667,"J.D. Martinez",6184,502110
"Nelson Cruz","SEA",152,655,44,90,93,3,0.090076335,0.250381679,0.264406779,0.349869451,0.301694915,0.369465648,0.566101694,0.3959896635529427,0.385,157.95387495501208,-2.7096918495371938,41.21696064450772,-15.208325624465942,5.032417767268495,"Nelson Cruz",2434,443558
"Dee Strange-Gordon","MIA",145,653,4,88,46,58,0.038284839,0.139356814,0.084552845,0.382857142,0.333333333,0.358578052,0.417886178,0.3368340026500613,0.283,115.5766363451334,4.77756676170975,16.629567762380425,8.431439638137817,4.801095033773344,"Dee Strange-Gordon",8203,543829
"Mookie Betts","BOS",145,654,18,92,77,21,0.070336391,0.125382262,0.18760469,0.310139165,0.291457286,0.341013824,0.479061976,0.35139010025904727,0.341,119.99813767936148,7.947389256674796,23.082013095240956,0.5299975872039795,4.774566291250337,"Mookie Betts",13611,605141
