Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Melky Cabrera","- - -",1.5667573362588882,-11.039464473724365,12.606222152709961,2.6834001541137695,0.34481319785118103,0.9563153182759004,6.455999851226807,1,-0.4275360107421875,2.0658631464859996,"Melky Cabrera",4022,466320
"Mookie Betts","BOS",3.10563588142395,-12.464181900024414,15.569817543029785,27.01259994506836,2.628952980041504,1.0635154247283936,,0,1.1427470445632935,1.7774135936494382,"Mookie Betts",13611,605141
"Marwin Gonzalez","HOU",3.077160358428955,-7.048985481262207,10.12614631652832,39.165000915527344,3.9411263465881348,0.8918930888175964,2.295942783355713,7,1.740116000175476,1.710028862487849,"Marwin Gonzalez",5497,503556
"Kole Calhoun","LAA",1.8397936820983887,-10.560724258422852,12.400518417358398,5.350499629974365,0.5198081731796265,0.9968419075012207,3.9907000064849854,2,0.14723794162273407,1.6983843865056967,"Kole Calhoun",11200,594777
"Dansby Swanson","ATL",-0.0961516872048378,-8.925284385681152,8.829132080078125,-8.41200065612793,-0.9752076864242554,0.9718747735023499,0.011599999852478504,2,-1.735170841217041,1.6362366062452498,"Dansby Swanson",18314,621020
"Albert Pujols","LAA",-0.6183822751045227,-13.05646800994873,12.43808650970459,-10.730999946594238,-1.082065463066101,1.0955874919891357,3.336400032043457,1,-2.200655937194824,1.6362260950999723,"Albert Pujols",1177,405395
"Joe Mauer","MIN",2.8737564086914062,-8.55079174041748,11.424548149108887,32.54570007324219,3.196484088897705,0.9528495669364929,1.9768856763839722,7,1.4033231735229492,1.6126370665922054,"Joe Mauer",1857,408045
"Nolan Arenado","COL",4.294613838195801,-9.849774360656738,14.144388198852539,48.159000396728516,4.390931606292725,0.9035303592681885,1.7434666156768799,3,3.2272608280181885,1.525887524046273,"Nolan Arenado",9777,571448
"Manny Machado","BAL",1.2583979368209839,-11.065035820007324,12.323433876037598,5.255999565124512,0.48983877897262573,0.9022858738899231,,0,-0.04994870349764824,1.444626347508404,"Manny Machado",11493,592518
"Robinson Canó","SEA",1.8858261108398438,-10.226914405822754,12.112739562988281,21.57200050354004,2.248575448989868,0.9549577832221985,4.23199987411499,2,0.6197425127029419,1.3550318113270994,"Robinson Cano",3269,429664
"Alcides Escobar","KCR",-1.3603997230529785,-11.318825721740723,9.958426475524902,-19.185800552368164,-1.883758544921875,0.9866049289703369,,0,-2.727679967880249,1.3488101861604782,"Alcides Escobar",6310,444876
"Elvis Andrus","TEX",2.8377203941345215,-10.864716529846191,13.702435493469238,25.277000427246094,2.4265336990356445,0.9323214888572693,,0,1.7008304595947266,1.3428839973279252,"Elvis Andrus",8709,462101
"George Springer","HOU",2.9890213012695312,-9.2527494430542,12.241771697998047,32.58469772338867,3.2439024448394775,0.8871639370918274,1.7135999202728271,2,2.148700475692749,1.2204866342654275,"George Springer",12856,543807
"Anthony Rizzo","CHC",4.471180438995361,-10.305286407470703,14.776466369628906,34.44960021972656,3.4685049057006836,1.0050277709960938,1.8840000629425049,2,3.2587831020355225,1.1900297248617147,"Anthony Rizzo",3473,519203
"Brandon Phillips","- - -",0.7519616782665253,-11.348629713058472,12.100591659545898,-5.6670002937316895,-0.5006372258067131,1.0509159538648105,1.506428599357605,7,-0.46602315455675125,1.1815529507323048,"Brandon Phillips",791,408252
"Jake Lamb","ARI",2.3669776916503906,-10.855917930603027,13.222895622253418,22.39699935913086,2.2669787406921387,1.0088610649108887,2.0360801219940186,5,1.2258634567260742,1.120324511048718,"Jake Lamb",13329,571875
"Max Kepler","MIN",0.67235267162323,-8.631987571716309,9.304340362548828,4.767999649047852,0.3998476564884186,0.9107767939567566,2.34535551071167,9,-0.3572976291179657,1.0955165605668857,"Max Kepler",12144,596146
"Yuli Gurriel","HOU",2.2139198780059814,-9.077101707458496,11.291022300720215,22.076000213623047,2.215444803237915,0.9562377333641052,3.049999952316284,2,1.2317724227905273,1.08346760671267,"Yuli Gurriel",19198,493329
"Francisco Lindor","CLE",2.5663042068481445,-11.660900115966797,14.227204322814941,10.156700134277344,1.0104399919509888,0.9343150854110718,,0,1.6922650337219238,1.0544574016961499,"Francisco Lindor",12916,596019
"Cody Bellinger","LAD",4.008367538452148,-7.831485748291016,11.83985424041748,33.51959991455078,3.5387380123138428,0.9683138728141785,2.1563000679016113,4,3.1223535537719727,1.0171797638730204,"Cody Bellinger",15998,641355
"Nick Castellanos","DET",1.4581701755523682,-10.772576332092285,12.230746269226074,22.108001708984375,2.0945210456848145,0.9339686632156372,3.268400192260742,2,0.5521580576896667,1.009104362541773,"Nick Castellanos",11737,592206
"Jorge Polanco","MIN",0.8351220488548279,-9.171390533447266,10.006511688232422,0.7039999961853027,0.07845868915319443,0.9901905655860901,0.6358000040054321,2,-0.14828047156333923,0.9916757510977613,"Jorge Polanco",13152,593871
"Kendrys Morales","TOR",0.6299278140068054,-11.969719886779785,12.599648475646973,-3.189000368118286,-0.2976022958755493,1.0690836906433105,1.5429778099060059,9,-0.3137419819831848,0.9029641537551184,"Kendrys Morales",8610,434778
"Jackie Bradley Jr.","BOS",0.0951189175248146,-9.904915809631348,10.00003433227539,2.79699969291687,0.33875805139541626,1.0583298206329346,0.7096999883651733,2,-0.793342649936676,0.8832190907875336,"Jackie Bradley Jr.",12984,598265
"Ryon Healy","OAK",1.1117558479309082,-10.269120216369629,11.380875587463379,3.5129995346069336,0.39976459741592413,0.952300488948822,0.7794666290283203,3,0.3134639263153076,0.8539783472448979,"Ryon Healy",15447,592387
"Yonder Alonso","- - -",2.7224698662757874,-8.340806007385254,11.063276052474976,20.164999961853027,1.9648045599460602,0.9915212500974226,1.241614282131195,14,1.9046586751937866,0.8410917219946641,"Yonder Alonso",2530,475174
"Eugenio Suárez","CIN",1.5059418678283691,-10.326045989990234,11.831988334655762,18.79399871826172,1.8987046480178833,0.9670132398605347,1.9070000648498535,4,0.763230562210083,0.7940820016236452,"Eugenio Suarez",12552,553993
"Alex Gordon","KCR",-1.0537464618682861,-9.391783714294434,8.338037490844727,-23.259700775146484,-2.2333030700683594,0.9591954946517944,0.49080002307891846,2,-1.8759150505065918,0.7773418527135647,"Alex Gordon",5209,460086
"Brett Gardner","NYY",2.1380419731140137,-10.495674133300781,12.633715629577637,15.203100204467773,1.5388798713684082,0.9402037858963013,1.5258666276931763,9,1.5273760557174683,0.7466436889231121,"Brett Gardner",9927,458731
"Whit Merrifield","KCR",1.6442722082138062,-10.831850051879883,12.47612190246582,10.14840030670166,1.0258783102035522,0.9709842801094055,,0,0.9922620058059692,0.7011456444482018,"Whit Merrifield",11281,593160
"Maikel Franco","PHI",-0.9790242314338684,-12.683405876159668,11.704381942749023,-21.138999938964844,-2.2079081535339355,1.0632344484329224,1.5967142581939697,7,-1.5799810886383057,0.6591830154787777,"Maikel Franco",12179,596748
"Chris Taylor","LAD",2.536789894104004,-8.946599960327148,11.483389854431152,25.690099716186523,2.6737430095672607,0.9758899211883545,1.953046202659607,13,1.9473211765289307,0.6521419791258793,"Chris Taylor",13757,621035
"Travis Shaw","MIL",2.2250330448150635,-11.323701858520508,13.548735618591309,17.51799964904785,1.841086745262146,1.0574655532836914,0.6547999978065491,1,1.5060031414031982,0.5981155581665294,"Travis Shaw",11982,543768
"Christian Yelich","MIA",2.397733449935913,-9.877860069274902,12.275593757629395,25.10700035095215,2.5574285984039307,0.9004424214363098,0.38199999928474426,1,2.121589183807373,0.5412500970333172,"Christian Yelich",11477,592885
"Hunter Pence","SFG",0.7506840825080872,-9.635980606079102,10.386663436889648,6.272400379180908,0.694903552532196,1.051843523979187,1.6305818557739258,11,0.1735842078924179,0.5400999717355598,"Hunter Pence",8252,452254
