Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Jimmy Rollins","PHI",3.034912109375,-11.383015632629395,14.417927742004395,18.35460090637207,2.0047998428344727,1.0187276601791382,1.8682665824890137,3,0.6292710304260254,2.3498491289709675,"Jimmy Rollins",971,276519
"Kyle Seager","SEA",2.1054301261901855,-10.557660102844238,12.663089752197266,15.918999671936035,1.5537512302398682,0.9796427488327026,1.132699966430664,2,-0.0853213295340538,2.2345028844416155,"Kyle Seager",9785,572122
"José Reyes","MIA",3.569993734359741,-11.523397445678711,15.093392372131348,19.717498779296875,2.082077980041504,1.0060921907424927,,0,1.939107894897461,1.6092684539191398,"Jose Reyes",1736,408314
"Hunter Pence","- - -",1.899164617061615,-12.569149732589722,14.468313694000244,9.860999584197998,1.0893904566764832,1.0519799014326534,1.1635000109672546,2,0.25394465029239655,1.5513794005523118,"Hunter Pence",8252,452254
"Josh Willingham","MIN",5.0094895362854,-10.758620262145996,15.768110275268555,38.05500030517578,3.943574905395508,1.0962371826171875,2.0065999031066895,2,3.157050848007202,1.4126623634399813,"Josh Willingham",2103,425545
"Corey Hart","MIL",2.4535017013549805,-10.603821754455566,13.057324409484863,20.18910026550293,2.0161008834838867,1.0164313316345215,2.0941333770751953,3,1.0423076152801514,1.371531495139151,"Corey Hart",1945,430611
"Jason Kipnis","CLE",2.152575731277466,-10.587803840637207,12.74038028717041,18.106599807739258,1.8430079221725464,0.9808285236358643,0.8488999605178833,2,0.8588079214096069,1.3358424985211008,"Jason Kipnis",9776,543401
"Asdrúbal Cabrera","CLE",1.8155503273010254,-10.845815658569336,12.661365509033203,10.604999542236328,1.108919620513916,0.998107373714447,0.6880000233650208,1,0.4940185546875,1.324974446580963,"Asdrubal Cabrera",4962,452678
"Torii Hunter","LAA",3.5894408226013184,-8.473761558532715,12.063201904296875,26.54800033569336,2.6108853816986084,0.8935766220092773,1.663599967956543,1,2.712331771850586,1.3046050349004439,"Torii Hunter",731,116338
"Elvis Andrus","TEX",1.1871308088302612,-10.412115097045898,11.599244117736816,5.953399658203125,0.5603586435317993,0.8916336297988892,1.0582000017166138,2,0.0666908323764801,1.2647201520858515,"Elvis Andrus",8709,462101
