Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",159,681,29,123,100,30,0.170337738,0.201174743,0.234972677,0.37113402,0.315118397,0.440528634,0.550091074,0.4181868717274858,0.427,170.13343017811232,5.105172972660512,62.44891680013901,-0.46008509397506714,8.697072155579663,"Mike Trout",10155,545361
"Kris Bryant","CHC",155,699,39,121,102,8,0.107296137,0.220314735,0.262023217,0.331719128,0.291873963,0.384835479,0.55389718,0.3963114254241031,0.386,148.3360127592453,2.6809948987793177,44.29262720535639,6.742025852203369,7.492345190011431,"Kris Bryant",15429,592178
"Mookie Betts","BOS",158,730,31,122,113,26,0.067123287,0.109589041,0.21577381,0.322183098,0.31845238,0.363013698,0.53422619,0.3793270856101163,0.336,135.55698857109806,8.869094262365252,40.03370332877448,7.3281450271606445,7.370853245060157,"Mookie Betts",13611,605141
"Jose Altuve","HOU",161,717,24,108,96,30,0.083682008,0.097629009,0.19375,0.347197106,0.3375,0.396358543,0.53125,0.3906506096485838,0.385,151.9416936262607,2.80787991755642,47.522455516168826,-1.571319043636322,7.181577218331584,"Jose Altuve",5417,514888
"Josh Donaldson","TOR",155,700,37,122,99,7,0.155714285,0.17,0.265164645,0.299528301,0.284228769,0.404011461,0.549393414,0.40291753902256144,0.403,156.60701741026318,-1.5840417160652578,45.99132712179049,-3.2615360636264086,6.793284758747149,"Josh Donaldson",5038,518626
"Buster Posey","SFG",146,614,14,82,80,6,0.104234527,0.110749185,0.146567718,0.303225806,0.287569573,0.361563517,0.434137291,0.34098101673644693,0.361,114.03461801971213,-2.6496183746494353,7.963321944710877,37.73814755678177,6.67051217961837,"Buster Posey",9166,457763
"Brian Dozier","MIN",155,691,42,104,99,18,0.088277858,0.199710564,0.278048781,0.279545454,0.268292682,0.339622641,0.546341463,0.36983795710573436,0.329,131.57120886038533,5.247768059838563,31.440639409919207,9.420814275741577,6.571056886715471,"Brian Dozier",9810,572821
"Freddie Freeman","ATL",158,693,34,102,91,6,0.128427128,0.246753246,0.266553481,0.370179948,0.30220713,0.399711399,0.568760611,0.40151066532841434,0.397,152.03007753144163,-0.48021354153752327,43.92709597801009,-3.068408966064453,6.432166358517478,"Freddie Freeman",5361,518692
"Robinson Canó","SEA",161,715,39,107,103,0,0.065734265,0.139860139,0.235114504,0.299424184,0.297709923,0.349650349,0.532824427,0.3701482168181445,0.348,138.7221619711541,-4.24452362023294,28.99689045359966,9.22403085231781,6.384106416187111,"Robinson Cano",3269,429664
"Adam Eaton","CHW",157,706,14,91,59,14,0.089235127,0.162889518,0.143780291,0.328600405,0.284329563,0.361945636,0.428109854,0.34361064699151084,0.33,117.06288546773575,3.019734631991014,17.483155633556933,19.70432472229004,6.247260982333563,"Adam Eaton",11205,594809
