Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ty France","SEA",152,650,18,85,73,0,0.07076923,0.163076923,0.154115587,0.326710816,0.290718038,0.367692307,0.444833625,0.35304897647058286,0.346,129.1675693760138,-0.6964357893448323,22.515729413770874,-12.744575262069702,3.2125734821503866,"Ty France",17982,664034
"Willy Adames","- - -",140,555,25,77,73,5,0.102702702,0.281081081,0.219315895,0.331230283,0.261569416,0.336936936,0.480885311,0.3492630730897511,0.325,119.57147494841749,-1.233937457203865,12.780840057592304,-0.6151936054229736,3.09703233693953,"Willy Adames",15986,642715
"Kris Bryant","- - -",144,586,25,86,73,10,0.105802047,0.230375426,0.216374269,0.312676056,0.265107212,0.35324232,0.481481481,0.3562471184533896,0.346,124.3297865166277,2.53576722368598,20.686040075396033,-9.476622462272644,3.095349481983048,"Kris Bryant",15429,592178
"J.P. Crawford","SEA",160,687,9,89,54,3,0.084425036,0.165938864,0.103392569,0.32,0.273021001,0.338192419,0.37641357,0.3141035026007325,0.298,102.84920076356005,-2.994557788828388,-0.5980334402105125,7.634986191987991,3.065496614841662,"J.P. Crawford",15491,641487
"Myles Straw","- - -",158,638,4,86,48,30,0.105015673,0.189655172,0.076241135,0.336343115,0.271276595,0.348508634,0.34751773,0.31082929256759595,0.303,97.80223509216792,4.309603587724268,2.5928657867661045,5.945908427238464,3.0477758709702627,"Myles Straw",17620,664702
"Giancarlo Stanton","NYY",139,579,35,64,97,0,0.10880829,0.271157167,0.243137255,0.323987538,0.272549019,0.354058721,0.515686274,0.36953522672290207,0.363,138.1502517466922,-3.056662847753614,23.987779358331334,-13.534434854984283,3.0370933667525764,"Giancarlo Stanton",4949,519317
"Tommy Edman","STL",159,691,11,91,56,30,0.054992764,0.13748191,0.124804992,0.291280148,0.262090483,0.307692307,0.386895475,0.30078707314854447,0.316,88.69241256128448,6.620832824148238,-3.3262388208855462,9.163613468408585,2.909889378005959,"Tommy Edman",19470,669242
"Mark Canha","OAK",141,625,17,93,61,12,0.1232,0.2048,0.156069364,0.27393617,0.231213872,0.3584,0.387283236,0.33302490367889404,0.332,115.98314172873634,0.4640400956850499,12.694540449369825,-5.164103224873543,2.902009208027478,"Mark Canha",11445,592192
"Adolis García","TEX",149,622,31,77,90,16,0.051446945,0.311897106,0.211703959,0.305555555,0.242685025,0.286173633,0.454388984,0.31422503498589494,0.299,98.50564175324193,0.14770638407208025,-0.9903064658852956,8.557953357696533,2.8954353359432026,"Adolis Garcia",19287,666969
"José Abreu","CHW",152,659,30,86,117,1,0.092564491,0.216995447,0.219081273,0.29280397,0.261484098,0.350531107,0.480565371,0.3539355836990403,0.349,124.63052342896387,-1.9953931360505521,17.87750069971015,-12.188517153263092,2.834147811561583,"Jose Abreu",15676,547989
"Amed Rosario","CLE",141,588,11,77,57,13,0.052721088,0.204081632,0.127272728,0.340425531,0.281818181,0.321428571,0.409090909,0.3154132664203644,0.3,101.620425915183,4.880573186324909,6.047137167128518,1.6641082763671875,2.793043784688094,"Amed Rosario",15518,642708
"J.D. Martinez","BOS",148,634,28,92,99,0,0.086750788,0.236593059,0.231578947,0.340050377,0.285964912,0.349131121,0.517543859,0.36397208599002356,0.374,126.37279133683903,-1.7391320350579917,18.732261785527395,-13.195718228816986,2.7329861529745396,"J.D. Martinez",6184,502110
"Salvador Perez","KCR",161,665,48,88,121,1,0.042105263,0.255639097,0.270967742,0.298029556,0.272580645,0.315789473,0.543548387,0.3591030183249631,0.371,125.0284922153468,-3.6548607065342367,16.722990614867648,-12.578466892242432,2.69988679118494,"Salvador Perez",7304,521692
"Chris Taylor","LAD",148,582,20,92,73,13,0.108247422,0.28694158,0.183431953,0.3374613,0.254437869,0.344234079,0.437869822,0.3380622528171704,0.329,112.95861123556014,3.950292694149539,13.551562844700639,-6.5759188532829285,2.657350402531745,"Chris Taylor",13757,621035
"Whit Merrifield","KCR",162,720,10,97,74,40,0.055555555,0.143055555,0.11746988,0.309058614,0.277108433,0.316666666,0.394578313,0.30623238880876374,0.301,89.2998547610978,6.585509051568806,-2.8469347362133064,4.254321932792664,2.6143461010670914,"Whit Merrifield",11281,593160
"Hunter Renfroe","BOS",144,572,31,89,96,1,0.076923076,0.227272727,0.24184261,0.284153005,0.259117082,0.314685314,0.500959692,0.3439629382186836,0.354,112.85111412148343,-3.2937188567593694,5.70620563348646,0.3312716484069824,2.5702457222542874,"Hunter Renfroe",15464,592669
