Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.430184422851145,0.45,173.81664358316738,-1.1583866532891989,60.59046016589479,4.919203281402588,8.746945820572662,"Aaron Judge",15640,592450
"Jose Altuve","HOU",153,662,24,112,81,32,0.087613293,0.126888217,0.201694916,0.37037037,0.345762711,0.409984871,0.547457627,0.4050184821647714,0.36,159.64068041446606,5.439596256706864,54.15265972768834,1.3281673789024353,7.696256365604423,"Jose Altuve",5417,514888
"José Ramírez","CLE",152,645,29,107,83,17,0.080620155,0.106976744,0.264957265,0.319105691,0.317948717,0.37364341,0.582905982,0.3964889530092478,0.36,146.3522184493424,3.5638841637410223,40.451034242870975,8.501009464263916,6.99063024714404,"Jose Ramirez",13510,608070
"Kris Bryant","CHC",151,665,29,111,73,7,0.142857142,0.192481203,0.242258652,0.334170854,0.295081967,0.409022556,0.537340619,0.3991411538738193,0.376,146.5762830238972,4.3558080438524485,44.16500923499448,3.145692229270935,6.9872014609366015,"Kris Bryant",15429,592178
"Mike Trout","LAA",114,507,33,92,72,22,0.185404339,0.177514792,0.323383084,0.318021201,0.305970149,0.441814595,0.629353233,0.4369006416177362,0.425,180.49388600567576,3.6851615477353334,54.037044629643084,-2.8118377327919006,6.76358727782859,"Mike Trout",10155,545361
"Giancarlo Stanton","MIA",159,692,59,123,132,2,0.122832369,0.235549132,0.350083752,0.288359788,0.281407035,0.375722543,0.631490787,0.4104566109724705,0.403,158.09080000886834,-3.64052470959723,48.026141863866705,-7.860481679439545,6.368592434609939,"Giancarlo Stanton",4949,519317
"Joey Votto","CIN",162,707,36,106,100,5,0.189533239,0.117397454,0.257602862,0.320627802,0.320214669,0.454031117,0.577817531,0.42821576085153107,0.416,163.10797553052072,-7.4113830188289285,49.93428985811549,-11.906788427382708,6.207184478716714,"Joey Votto",4314,458015
"Brian Dozier","MIN",152,705,34,106,93,16,0.110638297,0.2,0.226904376,0.299549549,0.270664505,0.358865248,0.497568881,0.3618832151265615,0.342,125.89454018503977,0.3330107028596103,22.856837756367447,14.628865718841553,6.046505148336565,"Brian Dozier",9810,572821
"Anthony Rendon","WSN",147,605,25,81,100,7,0.138842975,0.13553719,0.232283464,0.314496314,0.301181102,0.403305785,0.533464566,0.39411276399790746,0.369,140.90132229658974,1.1344208675436676,32.93900446171517,5.589108467102051,5.907519274899889,"Anthony Rendon",12861,543685
"Tommy Pham","STL",128,530,23,95,73,25,0.133962264,0.220754716,0.213963964,0.368078175,0.306306306,0.410984848,0.52027027,0.39810908980893367,0.377,148.8850885101247,4.94759648386389,38.24798237075909,1.9022598266601562,5.811986678258923,"Tommy Pham",2967,502054
"Francisco Lindor","CLE",159,723,33,99,89,15,0.082987551,0.128630705,0.231950845,0.274621212,0.273425499,0.337047353,0.505376344,0.3526813645711106,0.357,116.38912299518462,3.994463640730828,18.614177589251373,15.82974910736084,5.802891632778666,"Francisco Lindor",12916,596019
"Nolan Arenado","COL",159,680,37,100,130,3,0.09117647,0.155882352,0.277227722,0.319829424,0.308580858,0.373156342,0.58580858,0.3952016020569566,0.366,129.58259833156023,-1.4313440690748394,24.423517700229475,9.974429607391357,5.753435808430732,"Nolan Arenado",9777,571448
"Marcell Ozuna","MIA",159,679,37,93,124,1,0.094256259,0.212076583,0.236541599,0.354838709,0.311582381,0.375552282,0.54812398,0.38793820769698534,0.364,143.30575003826942,-4.0848222160711884,33.70826152703606,0.6003193855285645,5.7411151187254665,"Marcell Ozuna",10324,542303
"Justin Turner","LAD",130,543,21,72,71,7,0.108655616,0.103130755,0.207877462,0.325581395,0.321663019,0.415129151,0.529540481,0.39956292659876735,0.399,150.73835433872154,-0.9215722219087183,34.48902059160266,3.4523085355758667,5.63668406177538,"Justin Turner",5235,457759
"Charlie Blackmon","COL",159,725,37,137,104,14,0.089655172,0.186206896,0.270186336,0.370526315,0.330745341,0.398891966,0.600931677,0.414420904484571,0.372,142.20153686445715,0.6279882513917983,39.95249322794462,-10.983334302902222,5.3673139987348675,"Charlie Blackmon",7859,453568
"Paul Goldschmidt","ARI",155,665,36,117,120,18,0.141353383,0.221052631,0.265232975,0.343007915,0.297491039,0.403614457,0.562724014,0.4004370406706271,0.397,142.17934056802204,1.580529423430562,37.631621218809926,-6.842258930206299,5.342890509035998,"Paul Goldschmidt",9218,502671
"Corey Seager","LAD",145,613,22,85,77,4,0.109298531,0.213703099,0.183673469,0.352185089,0.294990723,0.375203915,0.478664192,0.36389588995983724,0.383,127.32022328571493,0.6808324242010713,22.20576053731622,7.181566596031189,5.025179845482735,"Corey Seager",13624,608369
"Lorenzo Cain","KCR",155,645,15,86,49,26,0.08372093,0.155038759,0.140410959,0.33970276,0.299657534,0.362790697,0.440068493,0.34671243136713964,0.348,114.53246544854939,7.309701845981181,18.874654979912933,9.922399878501892,4.984674885595243,"Lorenzo Cain",9077,456715
"Buster Posey","SFG",140,568,12,62,67,6,0.107394366,0.116197183,0.141700405,0.346793349,0.319838056,0.399647887,0.461538461,0.3655566185444325,0.345,128.29811277961264,-1.964998360723257,18.693692627121074,11.426526308059692,4.9439355358456964,"Buster Posey",9166,457763
"Travis Shaw","MIL",144,606,31,84,101,10,0.0990099,0.227722772,0.239776952,0.311827956,0.2732342,0.34876033,0.513011152,0.3608424414776402,0.328,120.13586842805995,0.32135417638346553,16.004745528539974,12.38817024230957,4.902225009189928,"Travis Shaw",11982,543768
"Mookie Betts","BOS",153,712,24,101,102,26,0.108146067,0.110955056,0.194267516,0.267924528,0.26433121,0.344101123,0.458598726,0.338943007830027,0.34,106.63638950269767,8.16688590683043,13.996727102544984,10.475668907165527,4.774328903148112,"Mookie Betts",13611,605141
"Andrelton Simmons","LAA",158,647,14,77,69,19,0.072642967,0.103554868,0.142614601,0.290697674,0.27843803,0.330757341,0.421052631,0.322746795885714,0.307,102.41603013470268,2.2536505460739136,4.182291972437398,22.275207042694092,4.7583964145858415,"Andrelton Simmons",10847,592743
"Alex Bregman","HOU",155,626,19,88,71,17,0.087859424,0.154952076,0.190647482,0.310961968,0.284172661,0.352,0.474820143,0.35072798579692077,0.338,122.50758583153389,3.1932302596978843,20.57716614790382,5.842082738876343,4.6856116762455375,"Alex Bregman",17678,608324
"Chris Taylor","LAD",140,568,21,85,72,17,0.088028169,0.25,0.208171206,0.360795454,0.287937743,0.353873239,0.496108949,0.3612611353607245,0.342,125.59030585189066,4.9666185532696545,23.64850822541445,2.7152544260025024,4.570068614886413,"Chris Taylor",13757,621035
"Jonathan Schoop","BAL",160,675,32,92,105,1,0.051851851,0.21037037,0.210610933,0.329670329,0.292604501,0.337777777,0.503215434,0.3548188797632853,0.33,120.23369311346906,-1.3207610226236284,15.53016589242069,7.5149078369140625,4.5107401420215325,"Jonathan Schoop",11265,570731
"Byron Buxton","MIN",140,511,16,69,51,29,0.074363992,0.293542074,0.16017316,0.338926174,0.253246753,0.314229249,0.413419913,0.31168585140553734,0.298,91.56102733157395,9.029438762459904,3.708903279044037,24.652249097824097,4.501146745699713,"Byron Buxton",14161,621439
"Avisaíl García","CHW",136,561,18,75,80,5,0.058823529,0.197860962,0.175675675,0.392307692,0.33011583,0.379679144,0.505791505,0.37527231185985127,0.365,138.07665515340457,1.99120684992522,28.346418938316315,-1.7373385429382324,4.491002111177881,"Avisail Garcia",5760,541645
"Freddie Freeman","ATL",117,514,28,84,71,8,0.126459143,0.184824902,0.279545455,0.335423197,0.306818181,0.402723735,0.586363636,0.4068695397377014,0.406,149.31155811938385,0.2097046971321106,32.786535713149114,-5.415132284164429,4.485331815206845,"Freddie Freeman",5361,518692
"J.T. Realmuto","MIA",141,579,17,68,65,8,0.062176165,0.183074265,0.172932331,0.317961165,0.278195488,0.331606217,0.451127819,0.3319237586726313,0.335,106.52799018696406,3.378996954765171,8.236969402526398,16.701420783996582,4.465896315587432,"J.T. Realmuto",11739,592663
