Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Willy Adames","- - -",2.8100421726703644,-9.119085311889648,11.929126977920532,18.690998911857605,1.7995525831356645,0.9469884351680153,2.281866709391276,3,0.9642686396837234,2.0030771781897596,"Willy Adames",15986,642715
"Kyle Seager","SEA",1.751816749572754,-11.185300827026367,12.937117576599121,18.253000259399414,1.7602580785751343,0.9606090784072876,2.3825998306274414,2,-0.15530160069465637,1.9789536865955175,"Kyle Seager",9785,572122
"Jed Lowrie","OAK",1.8166464567184448,-9.08659553527832,10.903242111206055,11.165000915527344,1.0915048122406006,1.0851789712905884,1.7972285747528076,21,0.06569499522447586,1.6083574005365038,"Jed Lowrie",4418,476704
"Tommy Edman","STL",1.5268518924713135,-9.67534351348877,11.202195167541504,6.157400131225586,0.6190113425254822,0.8672094941139221,1.2006499767303467,4,0.1914123147726059,1.5692371048135876,"Tommy Edman",19470,669242
"Alex Verdugo","BOS",2.1357407569885254,-10.021798133850098,12.157539367675781,10.730999946594238,1.0017212629318237,1.0202853679656982,2.3015999794006348,6,0.5571595430374146,1.5361183025979535,"Alex Verdugo",17027,657077
"Salvador Perez","KCR",3.3915176391601562,-11.59485912322998,14.986376762390137,18.823999404907227,1.8743741512298584,0.9607171416282654,0.30799999833106995,1,2.0206944942474365,1.5094992456207459,"Salvador Perez",7304,521692
"Jorge Polanco","MIN",3.1280221939086914,-10.662124633789062,13.790146827697754,27.077499389648438,2.719982862472534,0.9864274859428406,1.070080041885376,5,1.7242153882980347,1.4468460819922888,"Jorge Polanco",13152,593871
"J.P. Crawford","SEA",1.2969621419906616,-11.102635383605957,12.39959716796875,-0.5241025686264038,-0.09430798143148422,0.9517961144447327,,0,-0.06681708991527557,1.429464113061924,"J.P. Crawford",15491,641487
"José Ramírez","CLE",3.7740769386291504,-9.895096778869629,13.669173240661621,41.52799987792969,4.148475646972656,0.9489529132843018,0.6383999586105347,1,2.77539324760437,1.2017028609550806,"Jose Ramirez",13510,608070
"Starling Marte","- - -",3.7843105792999268,-8.556903839111328,12.341214179992676,37.558000564575195,3.900306820869446,1.0644215857737684,4.610800266265869,1,2.4729026556015015,1.0823715232371094,"Starling Marte",9241,516782
"Shohei Ohtani","LAA",5.1842875480651855,-8.969720840454102,14.154008865356445,53.56779861450195,5.321285247802734,0.8879388570785522,1.8607555627822876,9,4.7607197761535645,1.0778438892797109,"Shohei Ohtani",19755,660271
"Luis Urías","MIL",1.6301603317260742,-8.91561508178711,10.545775413513184,22.313501358032227,2.158595085144043,0.9712324142456055,2.111840009689331,10,0.615587592124939,1.0628575542845164,"Luis Urias",16622,649966
"Austin Meadows","TBR",2.169524908065796,-10.460702896118164,12.630228042602539,27.475200653076172,2.865030288696289,1.0429503917694092,1.6134181022644043,11,1.0552260875701904,1.0249542596322359,"Austin Meadows",15672,640457
"Adam Duvall","- - -",0.6550377011299133,-10.878901958465576,11.533939838409424,17.37399959564209,1.7069765329360962,1.051248712724689,0.9500545317476446,11,-0.33526164293289185,0.9583660455362945,"Adam Duvall",10950,594807
"Ryan McMahon","COL",1.2142183780670166,-10.759084701538086,11.973302841186523,1.5940005779266357,0.19970770180225372,1.028741478919983,0.9614444375038147,9,0.23728545010089874,0.9430095053836953,"Ryan McMahon",15112,641857
"Mitch Haniger","SEA",2.8326990604400635,-11.124528884887695,13.957228660583496,32.5453987121582,3.353187322616577,0.9654209613800049,,0,1.9929720163345337,0.9411874578816768,"Mitch Haniger",14274,571745
"Jesús Aguilar","MIA",1.4806407690048218,-8.758310317993164,10.238951683044434,23.017000198364258,2.3890647888183594,1.0587714910507202,1.9604532718658447,15,0.47830379009246826,0.9201478885935912,"Jesus Aguilar",11342,542583
"J.T. Realmuto","PHI",1.4249871969223022,-9.622325897216797,11.04731273651123,11.289999008178711,1.0766494274139404,1.0528769493103027,2.4284443855285645,9,0.4745277762413025,0.8788945755878965,"J.T. Realmuto",11739,592663
"DJ LeMahieu","NYY",0.05865338072180748,-12.199346542358398,12.257999420166016,-0.705801248550415,-0.0871698334813118,1.015439748764038,2.6514999866485596,2,-0.8076635599136353,0.8654251167102828,"DJ LeMahieu",9874,518934
"Austin Hays","BAL",1.4356125593185425,-8.442512512207031,9.878125190734863,8.519200325012207,0.8304339051246643,0.9228102564811707,1.2953143119812012,7,0.6958835124969482,0.8598128500389131,"Austin Hays",19363,669720
"Brandon Crawford","SFG",3.344031810760498,-9.03249740600586,12.376529693603516,35.375,3.4770314693450928,1.0208531618118286,1.388319969177246,5,2.4281623363494873,0.8475603002199583,"Brandon Crawford",5343,543063
"Trent Grisham","SDP",0.4465586543083191,-9.030134201049805,9.476692199707031,8.393599510192871,0.8632717132568359,0.9979974627494812,1.187000036239624,12,-0.3983859419822693,0.8458406409932776,"Trent Grisham",18564,663757
"Nicky Lopez","KCR",1.2126463651657104,-8.610493659973145,9.823140144348145,8.918999671936035,0.8662756681442261,0.9513890147209167,0.26200002431869507,1,0.43200671672821045,0.8425995131129358,"Nicky Lopez",19339,670032
"Jared Walsh","LAA",3.082043170928955,-9.12797737121582,12.210020065307617,37.01300048828125,3.6687204837799072,0.9481596350669861,1.3163999319076538,1,2.443906307220459,0.8066467188121385,"Jared Walsh",18607,665120
"Aaron Judge","NYY",4.649587631225586,-10.074723243713379,14.724310874938965,39.48099899291992,3.974114179611206,1.0228193998336792,2.5090999603271484,4,3.746206760406494,0.799647211449785,"Aaron Judge",15640,592450
"Rafael Devers","BOS",2.8095619678497314,-11.923088073730469,14.732649803161621,29.75899887084961,2.836041212081909,1.0388662815093994,1.9860000610351562,1,1.9049100875854492,0.7995399632600129,"Rafael Devers",17350,646240
"Kevin Newman","PIT",-2.1873066425323486,-10.33768367767334,8.150376319885254,-27.779800415039062,-2.7747511863708496,1.03078293800354,1.221519947052002,10,-2.9111204147338867,0.7891347260991797,"Kevin Newman",17696,621028
"Gleyber Torres","NYY",0.046587973833084106,-9.778182029724121,9.824769973754883,-6.50860071182251,-0.6708986759185791,1.0682339668273926,2.4375,4,-0.7295389771461487,0.7731511213765445,"Gleyber Torres",16997,650402
"Nathaniel Lowe","TEX",1.5769405364990234,-10.866549491882324,12.443490028381348,19.257999420166016,1.909327507019043,1.0084190368652344,2.4242000579833984,4,0.8935961127281189,0.6701789439200496,"Nathaniel Lowe",19566,663993
"David Fletcher","LAA",-1.3146812915802002,-11.300108909606934,9.985427856445312,-14.521200180053711,-1.3889193534851074,0.9332290887832642,5.525599956512451,1,-2.0435292720794678,0.634784830460883,"David Fletcher",17992,664058
"Giancarlo Stanton","NYY",2.5287110805511475,-10.754881858825684,13.28359317779541,20.74199867248535,2.0680999755859375,1.0548064708709717,2.2076001167297363,5,1.8306379318237305,0.5666843736254839,"Giancarlo Stanton",4949,519317
"Whit Merrifield","KCR",0.40040504932403564,-12.065266609191895,12.465672492980957,10.992899894714355,1.0539342164993286,0.9715397953987122,,0,-0.15004105865955353,0.5621755396354076,"Whit Merrifield",11281,593160
"Miguel Cabrera","DET",0.024095281958580017,-10.504578590393066,10.528674125671387,-3.2769999504089355,-0.3049395978450775,1.0867348909378052,2.5661332607269287,3,-0.5074227452278137,0.5295949255447508,"Miguel Cabrera",1744,408234
"Charlie Blackmon","COL",0.7659329175949097,-10.69747257232666,11.46340560913086,6.970001220703125,0.6692667603492737,1.0651246309280396,1.7833333015441895,15,0.20227769017219543,0.5168239955409167,"Charlie Blackmon",7859,453568
